store_id,workbook,name,brief,cover,title
JFoDaDcdTZZ8f7zN,ly5XdtUiOz8wa7xc,常规门店 11/1-1/3,"四块主菜单板永远保持连续，根据顾客动线以下为从左到右，次序依次为“手工调制咖啡”→ “茶瓦纳” →“星冰乐&GG”→“咖啡师推荐”。若顾客动线为从右到左菜单板摆放则完全相反，右边第一块为“手工调制咖啡”，其次为“茶瓦纳”，以此类推。
标准菜单门店，收银区域后方根据顾客动线从左到右依次为：POS区海报、BOB1、食品双面BOB、BOB3。
针对尚未完成菜单板改造的门店，收银区域后方根据顾客动线依次为：POS区海报、BOB1、食品双面BOB。
食品双面BOB画面有早餐门店VS非早餐门店，具体请参见Customer Journey内食品BOB陈列指引。
若门店菜单板数并非以下图示的常规数量，必须确保四块主菜单板保持连续陈列。若菜单板数量少于常规，首先可撤下BOB3，其次食品双面BOB，再次BOB1，最后为POS区海报。","{'name': '海报-4', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=d1Vg9kKH8qYzpL25'}","标准菜单摆放（顾客动线从左到右----→）
针对尚未完成菜单板改造的门店（顾客动线从左到右----→）
分组三"
gnfLTY5bMYLA8jzJ,ly5XdtUiOz8wa7xc,Pour Over、Brew Bar门店  11/1-1/3,"食品柜后方陈列手冲画面和四张主菜单板 ，四块主菜单板永远保持连续，根据顾客动线以下为从左到右，次序依次为“手冲画面” →“手工调制咖啡”→ “茶瓦纳” →“星冰乐&GG”→“咖啡师推荐”。若顾客动线为从右到左，菜单板摆放则完全相反，右边第一块为“手冲画面”，其次为“手工调制咖啡”，以此类推。
收银区域后方根据顾客动线从左到右依次为：POS区海报、BOB1、食品双面BOB。
针对尚未完成菜单板改造的门店，收银区域后方根据顾客动线依次为：POS区海报、BOB1、食品双面BOB、BOB3。
食品双面BOB画面有早餐门店VS非早餐门店，具体请参见Customer Journey内食品BOB陈列指引。
若门店菜单板数并非以下图示的常规数量，必须确保四块手冲画面和主菜单板保持陈列。若菜单板数量少于常规，首先可撤下BOB3，其次食品双面BOB，再次BOB1，最后为POS区海报。","{'name': '海报-0', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=hbyA18OwMbdDLHBt'}","标准菜单摆放（顾客动线从左到右----→）
针对尚未完成菜单板改造的门店（顾客动线从左到右----→）
分组三"
PQLa5Qr5qniUYcRB,ly5XdtUiOz8wa7xc,常规臻选门店 11/1-1/3,"四块主菜单板永远保持连续，根据顾客动线从左到右，次序依次为“臻选菜单板” → “臻选当季推荐” → “手工调制咖啡”→ “茶瓦纳” →“星冰乐&GG”→“咖啡师推荐”。若顾客动线为从右到左，菜单板摆放则完全相反，右边第一块为“臻选菜单板”，其次为“臻选当季推荐”，以此类推。
臻选菜单板和臻选当季推荐按照门店是否销售臻选浓缩分成两个版本，销售臻选浓缩的门店包含拿铁选项，不销售臻选浓缩的门店无拿铁选项。
食品双面BOB画面有早餐门店VS非早餐门店，具体请参见Customer Journey内食品BOB陈列指引。
若门店菜单板数并非以下图示的常规数量，必须确保四块主菜单板和两块臻选菜单板保持陈列，若菜单板数量少于常规，首先可撤下BOB3，其次食品双面BOB，再次BOB1，最后为POS区海报。
请根据门店实际销售咖啡豆产品，在臻选菜单板上陈列“臻选BOB贴纸-今日浓缩推荐(小）”。","{'name': '海报-2', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=ng3E9FJm8YdjuBx1'}","常规臻选门店菜单标准摆放（顾客动线从左到右----→）
原先陈列咖啡故事门店换Coffee Gifting BOB陈列（顾客动线从左到右→
分组三"
Ra0wwdrTClphubrG,ly5XdtUiOz8wa7xc,咖啡融合冰淇淋门店11/1-1/3,"臻选门店及手冲门店，收银区域后方根据顾客动线依次依次为：POS区海报、BOB1、冰淇淋BOB。
常规门店，收银区域后方根据顾客动线依次依次为：POS区海报、BOB1、食品双面BOB、冰淇淋BOB。
针对售卖冰淇淋的门店需确保有冰淇淋系列饮品的收银机台卡陈列露出。
食品双面BOB画面有早餐门店VS非早餐门店，具体请参见Customer Journey内食品BOB陈列指引。
若门店菜单板数并非以下图示常规数量，请参考其他不同门店类型的菜单板优先陈列顺序。
请根据门店实际销售咖啡豆产品，在臻选菜单板上陈列“臻选BOB贴纸-今日浓缩推荐(小）”","{'name': '海报-5', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=Qyjg9UhnJtasmrrD'}","臻选门店（顾客动线从左到右----→）
手冲门店（顾客动线从左到右----→）
常规门店（顾客动线从左到右----→）"
7nh3HQXmuOJADnwv,ly5XdtUiOz8wa7xc,气致冷萃咖啡门店 11/1-1/3,"臻选门店及手冲门店，收银区域后方根据顾客动线依次依次为：POS区海报、BOB1、BOB3。
常规门店，收银区域后方根据顾客动线依次依次为：POS区海报、BOB1、食品双面BOB、BOB3。
食品双面BOB画面有早餐门店VS非早餐门店，具体请参见Customer Journey内食品BOB陈列指引。
若门店菜单板数并非以下图示的常规数量，请参考其他不同门店类型的菜单板优先陈列顺序。
请根据门店实际销售咖啡豆产品，在臻选菜单板上陈列“臻选BOB贴纸-今日浓缩推荐(小）”","{'name': '海报-8', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=y7ha2Pe0q8JAKFrS'}","臻选门店（顾客动线从左到右----→）
手冲门店（顾客动线从左到右----→）
常规门店（顾客动线从左到右----→）"
z8vkkeNweQfiU1Af,ly5XdtUiOz8wa7xc,手持菜单插页,"常规手持菜单必须陈列于收银台
若门店秋2档期 LTO饮品仍未售完，请保留最后一波手持菜单插页画面，在节日档期内可继续陈列，以便继续向客人推荐","{'name': '海报-3', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=ybJa5UkAQSw4BjBU'}","早餐市场
所有市场
分组三"
xXdROS86iu8AjtT4,ly5XdtUiOz8wa7xc,其他陈列物-Nitro门店,"{""origin"":""""}","{'name': '海报-9', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=zGwnuHm7kHkcrq9J'}","糖浆挡板磁贴
门贴
气致冷萃龙头区域陈列图"
mZ818CKfZkLKzKKs,aglOZaREQrwSukAz,常规门店 11/3-1/2,"三块主菜单板保持连续，根据顾客动线以下为从左到右，次序依次为“手工调制咖啡”→ “随心定制” →“星冰乐&茶瓦纳” 。若顾客动线为从右到左菜单板摆放则完全相反，右边第一块为“手工调制咖啡”，其次为“随心定制”，以此类推。
若菜单板数量4块以上但少于常规，首先可撤下BOB3，其次随心定制，再次咖啡师推荐。
标准菜单门店，收银区域后方根据顾客动线从左到右依次为：POS区海报、BOB1、BOB2、食品双面BOB3。
针对尚未完成菜单板改造的门店，收银区域后方根据顾客动线依次为：POS区海报、BOB1、BOB2。
若遇到任一款新品饮品售罄，请在对应海报张贴已售罄贴纸。
M2门店请在随心定制“可选浓缩”下方空白处张贴“M2门店-危地马拉安提瓜咖啡豆磁贴”
在Holiday期间门店不再陈列“咖啡师推荐手写黑板”，请门店妥善保管。","{'name': '1', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=iArfDob4NCYJ7230'}","标准菜单摆放（顾客动线从左到右----→）
针对尚未完成菜单板改造的门店（顾客动线从左到右----→）
分组三"
EzfbK6NwpIozb83s,aglOZaREQrwSukAz,Pour Over、Brew Bar门店 11/3-1/2,"手冲门店四块主菜单板永远保持连续，根据顾客动线以下为从左到右，次序依次为“手冲画面”→“手工调制咖啡”→ “随心定制” →“星冰乐&茶瓦纳” 。若顾客动线为从右到左菜单板摆放则完全相反，右边第一块为“手冲画面”，其次为“手工调制咖啡”，以此类推。
若菜单板数量4块以上但少于常规，首先可撤下BOB3，其次随心定制，再次咖啡师推荐。
标准菜单门店，收银区域后方根据顾客动线从左到右依次为：POS区海报、BOB1、BOB2。
针对尚未完成菜单板改造的门店，收银区域后方根据顾客动线依次为：POS区海报、BOB1、BOB2 、BOB3 。
若遇到任一款新品饮品售罄，请在对应海报张贴已售罄贴纸。
M2门店请在随心定制“可选浓缩”下方空白处张贴“M2门店-危地马拉安提瓜咖啡豆磁贴”
在Holiday期间门店不再陈列“咖啡师推荐手写黑板”，请门店妥善保管。","{'name': '海报1', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=a8jr1ZnWu4563Mlh'}","标准菜单摆放（顾客动线从左到右----→）
针对尚未完成菜单板改造的门店（顾客动线从左到右----→）
分组三"
bO4LOl9BWXI2N4Q2,aglOZaREQrwSukAz,常规臻选门店 11/3-1/2,"五块主菜单板永远保持连续，根据顾客动线从左到右，次序依次为“臻选菜单板” → “臻选当季推荐” → “手工调制咖啡”→ “随心定制” →“星冰乐&茶瓦纳”。若顾客动线为从右到左，菜单板摆放则完全相反，右边第一块为“臻选菜单板”，其次为“臻选当季推荐”，以此类推。
臻选菜单板和臻选当季推荐按照门店是否销售臻选浓缩分成两个版本，销售臻选浓缩的门店包含拿铁选项，不销售臻选浓缩的门店无拿铁选项。根据店内咖啡豆库存情况，选择对应的“臻选邮票贴”至于“其他咖啡豆选择”栏目
若菜单板数量4块以上但少于常规，首先可撤下BOB3，其次随心定制，再次咖啡师推荐。
若遇到任一款新品饮品售罄，请在对应海报张贴已售罄贴纸。
M2门店请在随心定制“可选浓缩”下方空白处张贴“M2门店-危地马拉安提瓜咖啡豆磁贴”
在Holiday期间门店不再陈列“咖啡师推荐手写黑板”，请门店妥善保管。
臻选菜单及臻选当季推荐BOB，需据云南日晒销售情况决定。如云南日晒售罄后则陈列苏门答腊，否则继续陈列云南日晒","{'name': '海报6', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=9ogK8J5dI55l7jw7'}","常规臻选门店菜单标准摆放（顾客动线从左到右----→）
原先陈列咖啡故事门店换Coffee Gifting BOB陈列（顾客动线从左到右→
分组三"
QzObpt7UquRpBwll,aglOZaREQrwSukAz,咖啡融合冰淇淋门店&气致冷萃门店11/3-1/2,"Holiday期间无冰淇淋BOB画面
臻选门店及手冲门店，收银区域后方根据顾客动线依次依次为：POS区海报、BOB1、 BOB2。
常规门店，收银区域后方根据顾客动线依次依次为：POS区海报、BOB1、BOB2、 食品双面BOB3 。 
臻选当季推荐新增加了 “其他咖啡豆选择”板块，替代原有的“今日浓缩”物料，更方便门店灵活进行浓缩/冲煮 咖啡的推荐，可按照店内实际在售咖啡豆张贴。另外按照销售产品分为两个版本，臻选浓缩的门店包含拿铁选项，不销售臻选浓缩的门店无拿铁选项。
针对售卖冰淇淋的门店需确保有冰淇淋系列饮品的收银机台卡陈列露出。 
若遇到任一款新品饮品售罄，请在对应海报张贴已售罄贴纸。 
M2门店请在随心定制“可选浓缩”下方空白处张贴“M2门店-危地马拉安提瓜咖啡豆磁贴”
在Holiday期间门店不再陈列“咖啡师推荐手写黑板”，请门店妥善保管。
臻选菜单及臻选当季推荐BOB，需据云南日晒销售情况决定。如云南日晒售罄后则陈列苏门答腊，否则继续陈列云南日晒。","{'name': '海报9', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=JAGDvXTeiKL5A95s'}","臻选门店（顾客动线从左到右----→）
手冲门店（顾客动线从左到右----→）
常规门店（顾客动线从左到右----→）"
utiHhXp219kzn1w5,aglOZaREQrwSukAz,手持菜单插页,"常规手持菜单必须陈列于收银台
上市冰淇淋的门店请陈列冰淇淋手持菜单；上市气致冷萃的门店请陈列气致冷萃手持菜单
请保留秋季档期的手持菜单插页画面，在Holiday档期内可以进行秋季档期手持菜单插页申请补货，以便档期继续向客人推荐","{'name': '海报8', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=058AzYrKX3isKfTL'}","早餐手持插页在秋一档期不陈列
所有市场
分组三"
JojxtoSDIyBC8XLC,aglOZaREQrwSukAz,其他陈列物-Nitro门店,"{""origin"":""""}","{'name': '海报4', 'url': 'https://starbucks.joywok.com/openfile/getfile?type=jw_n_maker&id=KiDYw8d1U9pgXlnv'}","糖浆挡板磁贴
门贴
气致冷萃龙头区域陈列图"
